innov,df,LogHAR_rel_qlike,RF_rel_qlike
normal,999,0.19553757912093653,0.16606964052202447
t(10),10,0.18799624407694263,0.16451041911239841
t(6),6,0.19084688824935536,0.16578534994526561
t(4),4,0.19601948180955128,0.17581320508233653
t(3),3,0.16794257854835437,0.1433616543862343
