data_source,feature_set,horizon,model,mean_rel_mse,median_rel_mse,mean_rel_qlike,median_rel_qlike,n_assets,share_beats_har_mse_5pct,share_beats_har_qlike_5pct
stock_rv5,MALL,1,SHAR,0.9982428635435948,0.9992374458418658,0.995704686408982,0.9966514640050982,54,0.1481481481481481,0.2037037037037037
stock_rv5,MALL,1,HAR,1.0,1.0,1.0,1.0,54,0.0,0.0
stock_rv5,MALL,1,HARQ,0.9922909688918768,0.992196128002805,1.0166582661118266,0.9906843195898956,54,0.2037037037037037,0.4259259259259259
stock_rv5,MALL,1,LogHAR,1.2335229102466432,0.9782969788566596,1.0419338510954514,0.9796664132784586,54,0.6296296296296297,0.4259259259259259
stock_rv5,MALL,1,GradientBoosting,1.1916916523244063,0.9716685921364696,1.0458921425653505,0.9808863866395464,54,0.3888888888888889,0.2592592592592592
stock_rv5,MALL,1,RandomForest,1.1790430427770031,0.9776671331468688,1.0465611632113645,1.0007854790626989,54,0.3333333333333333,0.2777777777777778
stock_rv5,MALL,1,NN2,1.4751029247745124,0.9686016300635042,1.0558548945923854,0.9806227930118878,54,0.4259259259259259,0.3148148148148148
stock_rv5,MALL,1,HARCJ,1.0236764982184543,1.0021860884888447,1.0720242251603704,1.001935299780874,54,0.1111111111111111,0.1296296296296296
stock_rv5,MALL,1,NN3,1.2766909077536184,0.970127804806468,1.0774341634226714,0.9884625442908258,54,0.3888888888888889,0.1666666666666666
stock_rv5,MALL,1,NN1,1.336106635773508,0.9705172220540564,1.0883704984348672,0.9864134285377076,54,0.3888888888888889,0.3148148148148148
stock_rv5,MALL,1,Ridge,2.2248665402491627,1.0386498801030712,1.1911363160482926,1.0839845596921478,54,0.0185185185185185,0.0
stock_rv5,MALL,1,ElasticNet,2.225727654387427,1.0471274625445353,1.2024001848757773,1.0970039091984976,54,0.0185185185185185,0.0
stock_rv5,MALL,1,Lasso,2.240106719195164,1.0401467335825076,1.2024497647156889,1.101941322703882,54,0.0185185185185185,0.0
stock_rv5,MALL,5,LogHAR,0.92989024465145,0.9593613347157044,0.9384496784173402,0.9659786380710996,54,0.5370370370370371,0.4259259259259259
stock_rv5,MALL,5,NN2,0.9296462504470604,0.939065060170999,0.952441139055847,0.9656776627030886,54,0.3518518518518518,0.2222222222222222
stock_rv5,MALL,5,GradientBoosting,0.9353532198868814,0.945551725403738,0.9561494410352208,0.9772850951464688,54,0.3888888888888889,0.3333333333333333
stock_rv5,MALL,5,NN3,0.9302808321372618,0.9417661558506388,0.9596563568127952,0.9717625655138452,54,0.3703703703703703,0.2222222222222222
stock_rv5,MALL,5,NN1,0.9363726897558242,0.9488519297775349,0.960162014193117,0.967263678967924,54,0.3333333333333333,0.2962962962962963
stock_rv5,MALL,5,RandomForest,0.9447988261806572,0.9528857217019716,0.9667108818391836,0.986003818744818,54,0.3148148148148148,0.2407407407407407
stock_rv5,MALL,5,HAR,1.0,1.0,1.0,1.0,54,0.0,0.0
stock_rv5,MALL,5,HARQ,0.9787040415271075,0.9911165771639888,1.0152130029495814,0.9841200846369258,54,0.2037037037037037,0.4814814814814814
stock_rv5,MALL,5,SHAR,0.9982736702162938,0.9984262993918496,1.0165423541440486,0.9980002422682116,54,0.2037037037037037,0.2592592592592592
stock_rv5,MALL,5,Ridge,104.4221223738938,1.0452990153404025,1.0889711071004986,1.0513680288103906,54,0.1111111111111111,0.074074074074074
stock_rv5,MALL,5,HARCJ,1.0542668739173826,1.0063961623950846,1.0907881917328708,1.0032976132295215,54,0.1111111111111111,0.0925925925925925
stock_rv5,MALL,5,Lasso,104.42778160163836,1.0452971978595218,1.0946587835959027,1.0625212649247842,54,0.0925925925925925,0.0925925925925925
stock_rv5,MALL,5,ElasticNet,104.4224729386626,1.0509768732873694,1.095216231179197,1.0600706176721295,54,0.1111111111111111,0.0925925925925925
stock_rv5,MALL,22,LogHAR,0.9322816672247884,0.969787608049498,0.95640748646418,0.9711983557579126,54,0.2407407407407407,0.2222222222222222
stock_rv5,MALL,22,GradientBoosting,0.9594132887408376,0.9701751803268168,0.9957212164780864,1.019020595347683,54,0.2037037037037037,0.1296296296296296
stock_rv5,MALL,22,HAR,1.0,1.0,1.0,1.0,54,0.0,0.0
stock_rv5,MALL,22,NN1,0.9631029085227112,0.9703804404769056,1.0084591324234649,1.007507018125148,54,0.1481481481481481,0.1666666666666666
stock_rv5,MALL,22,SHAR,1.0003009162238778,1.0000509418427346,1.01078373482282,0.9996877078779388,54,0.074074074074074,0.1851851851851851
stock_rv5,MALL,22,NN2,0.9760675209291508,0.9881811909275916,1.0136248922989997,1.030263985024524,54,0.1481481481481481,0.1666666666666666
stock_rv5,MALL,22,HARQ,0.9811083218833128,0.9935167175147278,1.0206946155566083,0.9908315069593374,54,0.0925925925925925,0.3888888888888889
stock_rv5,MALL,22,RandomForest,0.9822532840949793,0.977722433902683,1.0246393407963967,1.0264663993800949,54,0.1481481481481481,0.0925925925925925
stock_rv5,MALL,22,NN3,0.965366915537317,0.9903078564949206,1.0270219591097112,1.0426211783996846,54,0.1296296296296296,0.1111111111111111
stock_rv5,MALL,22,HARCJ,0.9970620160354964,1.010837997254427,1.0332164970205524,1.0073571780084618,54,0.0925925925925925,0.0925925925925925
stock_rv5,MALL,22,Ridge,1.6385626203666068,1.077236883284297,1.1015390011716049,1.064678548164589,54,0.0185185185185185,0.0555555555555555
stock_rv5,MALL,22,Lasso,1.6507154593506503,1.062703529097349,1.1050087608641372,1.063958381445291,54,0.0185185185185185,0.0555555555555555
stock_rv5,MALL,22,ElasticNet,1.647729069642056,1.0675126482341528,1.1061365352078327,1.065287778405247,54,0.037037037037037,0.0555555555555555
stock_rv5,MHAR,1,SHAR,0.998243835733588,0.9992374458418658,0.9957048522720928,0.9966514640050982,54,0.1481481481481481,0.2037037037037037
stock_rv5,MHAR,1,HAR,1.0,1.0,1.0,1.0,54,0.0,0.0
stock_rv5,MHAR,1,HARQ,0.992298455372324,0.992196128002805,1.0166563860346234,0.9906843195898956,54,0.2037037037037037,0.4259259259259259
stock_rv5,MHAR,1,RandomForest,1.2053645536600508,0.9825543136082604,1.0374184116898977,0.988285759668204,54,0.3148148148148148,0.2592592592592592
stock_rv5,MHAR,1,GradientBoosting,1.2624076685322765,0.9818767232591264,1.0396080589790606,0.989277396348478,54,0.3333333333333333,0.2962962962962963
