data_source,feature_set,horizon,model,mean_rel_mse,median_rel_mse,mean_rel_qlike,median_rel_qlike,n_assets,share_beats_har_mse_5pct,share_beats_har_qlike_5pct
stock_rv5,MALL,1,LogHAR,0.9311223262166302,0.969286143098884,0.9047374701774158,0.9421038318114008,7,0.7142857142857143,0.7142857142857143
stock_rv5,MALL,1,NN2,0.9481913272110305,0.9642160621842832,0.9390902849086135,0.9670229976314116,7,0.5714285714285714,0.5714285714285714
stock_rv5,MALL,1,NN3,0.9288200892326275,0.9603444301504748,0.9393805229006341,0.9559523368839627,7,0.2857142857142857,0.42857142857142855
stock_rv5,MALL,1,NN1,0.9499355927564359,0.9694456071011872,0.9394860758677225,0.9557843065810284,7,0.42857142857142855,0.5714285714285714
stock_rv5,MALL,1,RandomForest,0.9398397165236289,0.9644506874625156,0.9422070743761713,0.9836375333869586,7,0.42857142857142855,0.42857142857142855
stock_rv5,MALL,1,GradientBoosting,0.9439444987374589,0.964591720319904,0.9476456821281642,0.9768582172971924,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL,1,HARCJ,0.9777388572779243,0.9994509657925688,0.9600548182412195,0.9946815714997612,7,0.14285714285714285,0.2857142857142857
stock_rv5,MALL,1,HARQ,0.9672058020331019,0.9743476163533026,0.9747738366600326,0.953491434728832,7,0.2857142857142857,0.8571428571428571
stock_rv5,MALL,1,SHAR,0.9809729729283624,0.9862850052722416,0.9839549367647406,0.9948591787497584,7,0.2857142857142857,0.42857142857142855
stock_rv5,MALL,1,HAR,1.0,1.0,1.0,1.0,7,0.0,0.0
stock_rv5,MALL,1,LevHAR,1.017729840420762,0.997403841718672,1.0627594715720443,1.001971859327757,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL,1,Ridge,3.2302831182231553,1.041902125117488,1.091045084362736,1.0829894665454949,7,0.0,0.0
stock_rv5,MALL,1,ElasticNet,3.1030820333810527,1.0557806260467264,1.0994636216857752,1.0919786937317872,7,0.0,0.0
stock_rv5,MALL,1,Lasso,3.0788017789343614,1.071861728609789,1.104858653894476,1.091983843951868,7,0.0,0.0
stock_rv5,MALL,5,LogHAR,0.9088799237409132,0.9444624688503712,0.8921984222586943,0.931299786780987,7,0.7142857142857143,0.7142857142857143
stock_rv5,MALL,5,NN3,0.9057273024250863,0.9515569950624404,0.9322556082500411,0.9642588199269784,7,0.42857142857142855,0.2857142857142857
stock_rv5,MALL,5,NN1,0.934301474302795,0.942627254825908,0.9325828727398555,0.9385398228252008,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL,5,NN2,0.9487288503676636,0.942148147694602,0.9400375592941808,0.9336657747956691,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL,5,GradientBoosting,0.9246883297240355,0.9443601487644868,0.9405614398892708,0.9591449585374656,7,0.42857142857142855,0.42857142857142855
stock_rv5,MALL,5,RandomForest,0.9293649313428209,0.9536939785630966,0.9483785625185087,0.9627256104930576,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL,5,HARCJ,1.0014071036272305,1.0021642670716664,0.9645961042896103,0.9939881078447926,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL,5,SHAR,0.9838575673659032,0.9804788021309546,0.9861682245950095,0.9942864958372232,7,0.5714285714285714,0.42857142857142855
stock_rv5,MALL,5,HARQ,0.9611018250926675,0.9629925420743752,0.9916247212437975,0.9593365909829488,7,0.2857142857142857,0.7142857142857143
stock_rv5,MALL,5,HAR,1.0,1.0,1.0,1.0,7,0.0,0.0
stock_rv5,MALL,5,LevHAR,1.0058056781155142,1.0030584623138787,1.0125484345884048,1.0057360167055829,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,5,Ridge,1.9751952742868983,1.063026999525572,1.1027136760830072,1.0779973938263032,7,0.0,0.0
stock_rv5,MALL,5,ElasticNet,1.9719787331597214,1.1463637705678744,1.1102875131874774,1.0780026500108313,7,0.0,0.0
stock_rv5,MALL,5,Lasso,1.9248623522480575,1.156616345277955,1.1119481203779409,1.078002379899403,7,0.0,0.0
stock_rv5,MALL,22,LogHAR,0.9430385254013464,0.9591544088606072,0.9234530254098952,0.928109915410148,7,0.14285714285714285,0.2857142857142857
stock_rv5,MALL,22,NN1,0.9776912700930291,1.0044785576905877,0.9719572553023209,0.9925003722099984,7,0.0,0.14285714285714285
stock_rv5,MALL,22,HARCJ,1.0478289617636323,1.01502877129812,0.9741620652082934,1.0005278639297408,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,22,NN2,1.014308809611989,1.032243371540404,0.9818900863215057,1.0050636088495772,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,22,RandomForest,0.9450539289872706,0.9686506652684264,0.9844127113294546,0.987766759320906,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,22,NN3,0.9635245923009691,1.0092249753396971,0.9872823032293885,1.0209220839073396,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,22,LevHAR,1.0467621943071241,1.0073696813006785,0.9872858049143509,1.007054175617493,7,0.0,0.0
stock_rv5,MALL,22,GradientBoosting,0.9711837457347743,0.9693699326798544,0.989099695614598,0.95955671741689,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL,22,SHAR,0.9963065484772404,0.9961798095462132,0.9935045060417345,0.9995356316177582,7,0.14285714285714285,0.2857142857142857
stock_rv5,MALL,22,HARQ,0.9748696283119987,0.9664857889151504,0.9961736004250057,0.9866337047927924,7,0.2857142857142857,0.42857142857142855
stock_rv5,MALL,22,HAR,1.0,1.0,1.0,1.0,7,0.0,0.0
stock_rv5,MALL,22,Ridge,1.8424064669923943,1.1132970116045844,1.0967569802785786,1.095374963974035,7,0.14285714285714285,0.0
stock_rv5,MALL,22,ElasticNet,1.7463643580839203,1.1542685295264727,1.1096771295128385,1.0984914712656135,7,0.14285714285714285,0.0
stock_rv5,MALL,22,Lasso,1.7452451476716553,1.1542730973656474,1.1168377916662737,1.0978039362435936,7,0.0,0.0
stock_rv5,MALL_OF,1,LogHAR,0.9311223262166302,0.969286143098884,0.9047374701774158,0.9421038318114008,7,0.7142857142857143,0.7142857142857143
stock_rv5,MALL_OF,1,NN2,0.9270333877313772,0.9677271294466808,0.9325026040465431,0.9510947347013574,7,0.42857142857142855,0.2857142857142857
stock_rv5,MALL_OF,1,GradientBoosting,0.9412489797696562,0.963155185386389,0.9383660171796455,0.9786041991929328,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL_OF,1,RandomForest,0.938847495736216,0.9713043695431826,0.9439611210806512,0.987387814674082,7,0.42857142857142855,0.42857142857142855
stock_rv5,MALL_OF,1,NN1,0.9326943999760591,0.958794338952518,0.9450290304831966,0.977559043815278,7,0.42857142857142855,0.2857142857142857
stock_rv5,MALL_OF,1,NN3,0.9344326547664726,0.958983717335038,0.9452964261555264,0.9733942854544662,7,0.5714285714285714,0.2857142857142857
stock_rv5,MALL_OF,1,HARCJ,0.9777388572779243,0.9994509657925688,0.9600548182412195,0.9946815714997612,7,0.14285714285714285,0.2857142857142857
stock_rv5,MALL_OF,1,HARQ,0.9672058020331019,0.9743476163533026,0.9747738366600326,0.953491434728832,7,0.2857142857142857,0.8571428571428571
stock_rv5,MALL_OF,1,SHAR,0.9809729729283624,0.9862850052722416,0.9839549367647406,0.9948591787497584,7,0.2857142857142857,0.42857142857142855
stock_rv5,MALL_OF,1,HAR,1.0,1.0,1.0,1.0,7,0.0,0.0
stock_rv5,MALL_OF,1,Ridge,1.44467001587732,1.062511958885278,1.054577960671925,1.0459773353682094,7,0.0,0.0
stock_rv5,MALL_OF,1,LevHAR,1.017729840420762,0.997403841718672,1.0627594715720443,1.001971859327757,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL_OF,1,ElasticNet,1.3525166208762516,1.0681201013420232,1.0790820019690048,1.0969136565917652,7,0.0,0.0
stock_rv5,MALL_OF,1,Lasso,1.355106250090449,1.071861728609789,1.0827788775033724,1.1067989621181475,7,0.0,0.0
stock_rv5,MALL_OF,5,LogHAR,0.9088799237409132,0.9444624688503712,0.8921984222586943,0.931299786780987,7,0.7142857142857143,0.7142857142857143
stock_rv5,MALL_OF,5,NN2,0.9023762015922688,0.9318384287928116,0.9229191414191747,0.9499608636830368,7,0.42857142857142855,0.2857142857142857
stock_rv5,MALL_OF,5,NN3,0.9415442107296889,0.9437459615845052,0.946095590991587,0.9719989778562836,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL_OF,5,NN1,0.9356794467868106,0.9381819544828358,0.9542955854499681,0.9889554084427998,7,0.2857142857142857,0.2857142857142857
stock_rv5,MALL_OF,5,RandomForest,0.9396937180761461,0.9790063952665602,0.9599578157199876,0.9862715441792084,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL_OF,5,HARCJ,1.0014071036272305,1.0021642670716664,0.9645961042896103,0.9939881078447926,7,0.2857142857142857,0.14285714285714285
stock_rv5,MALL_OF,5,GradientBoosting,0.9411107245332008,0.9494353225302564,0.9672870241957042,0.986134067821179,7,0.42857142857142855,0.42857142857142855
stock_rv5,MALL_OF,5,SHAR,0.9838575673659032,0.9804788021309546,0.9861682245950095,0.9942864958372232,7,0.5714285714285714,0.42857142857142855
stock_rv5,MALL_OF,5,HARQ,0.9611018250926675,0.9629925420743752,0.9916247212437975,0.9593365909829488,7,0.2857142857142857,0.7142857142857143
stock_rv5,MALL_OF,5,HAR,1.0,1.0,1.0,1.0,7,0.0,0.0
stock_rv5,MALL_OF,5,LevHAR,1.0058056781155142,1.0030584623138787,1.0125484345884048,1.0057360167055829,7,0.14285714285714285,0.14285714285714285
stock_rv5,MALL_OF,5,Ridge,1.5426264851615794,1.12929913628336,1.0566126447839566,1.0488149825801294,7,0.14285714285714285,0.0
stock_rv5,MALL_OF,5,ElasticNet,1.5406577195404967,1.1374135266648957,1.0686189382616855,1.0670902330507936,7,0.14285714285714285,0.0
stock_rv5,MALL_OF,5,Lasso,1.543743345092116,1.1374172168920946,1.072695294945536,1.0753090709449362,7,0.0,0.0
stock_rv5,MALL_OF,22,LogHAR,0.9430385254013464,0.9591544088606072,0.9234530254098952,0.928109915410148,7,0.14285714285714285,0.2857142857142857
